ds;y
01-09-1420;9.4
11-09-1552;8.8
08-02-1570;8.3
17-03-1575;7.3
16-12-1575;8.5
24-11-1604;8.5
16-09-1615;8.8
13-05-1647;8.5
15-03-1657;8
10-03-1681;7.3
12-07-1687;7.3
08-07-1730;8.7
24-12-1737;7.7
25-05-1751;8.5
30-03-1796;7.7
11-04-1819;8.3
19-11-1822;8.5
26-09-1829;7
08-10-1831;7.8
18-09-1833;7.7
20-02-1835;8.5
07-11-1837;8
08-10-1847;7.3
17-12-1849;7.5
06-12-1850;7.3
02-04-1851;7.1
26-05-1851;6.5
05-10-1859;7.6
13-08-1868;8.5
24-08-1869;7.5
05-10-1871;7.3
07-07-1873;8
11-11-1876;7.5
09-05-1877;8.5
23-01-1878;7.9
02-02-1879;7.3
15-08-1880;7.7
31-07-1893;6.6
16-08-06;7.9
08-06-09;7.6
04-10-10;7.3
15-09-11;7.3
29-01-14;8.2
14-02-17;7
20-05-18;7.9
04-12-18;8.2
01-03-19;7.2
02-03-19;7.3
10-12-20;7.4
07-11-22;7
10-11-22;8.39
04-05-23;7
15-05-25;7.1
28-04-26;7
21-11-27;7.1
20-11-28;7.1
01-12-28;8.3
19-10-29;7.5
18-03-31;7.1
23-02-33;7.6
04-12-34;6.9
01-03-36;7.1
18-04-36;7.5
13-07-36;7.3
24-01-39;7.8
18-04-39;7.4
11-10-40;7
08-07-42;7
14-03-43;7.2
06-04-43;8.3
01-12-43;7
13-09-45;7.1
02-08-46;7.9
19-04-49;7.3
25-04-49;7.3
29-05-49;7
17-12-49;7.8
17-12-49;7.8
29-01-50;7
09-12-50;8.3
06-05-53;7.6
06-12-53;7.4
08-02-54;7.7
19-04-55;7.1
08-01-56;7.1
17-12-56;7
29-07-57;7
04-09-58;7
13-06-59;7.5
21-05-60;7.3
22-05-60;7.3
22-05-60;8.5
19-06-60;7.3
01-11-60;7.4
13-07-61;7
14-02-62;7.3
03-08-62;7.1
23-02-65;7
28-03-65;7.4
28-12-66;7.8
13-03-67;7.3
21-12-67;7.5
08-02-71;7
17-06-71;7
08-07-71;7.5
18-08-74;7.1
13-03-75;6.9
10-05-75;7.7
29-11-76;7.3
03-08-78;7
16-10-81;7.5
04-10-83;7.3
03-03-85;7.8
08-04-85;7.5
05-03-87;7.3
08-08-87;7.1
05-02-88;7.2
22-02-88;6.7
11-07-93;6.7
11-07-93;6.6
30-07-95;7.3
14-10-97;7.1
30-01-98;7.1
24-07-01;6.4
18-04-02;6.7
18-06-02;6.6
20-06-03;6.8
02-05-04;6.6
28-08-04;6.5
13-06-05;7.8
30-04-06;6.7
21-04-07;6.2
14-11-07;7.5
04-02-08;6.3
13-11-09;6.5
27-02-10;8.8
11-03-10;6.9
02-01-11;7.2
25-03-12;7.1
17-05-12;6.7
30-01-13;6.8
16-03-14;6.7
01-04-14;8.2
02-04-14;7.7
08-10-14;7.1
16-09-15;8.4
25-12-16;7.6
24-04-17;6.9
19-01-19;6.7
03-06-20;6.9
17-07-20;5.9
01-09-20;7
11-09-20;6.3
23-01-21;7.1
28-07-22;7.1
12-11-22;7.1
30-03-23;7.1
18-07-24;7.1
02-05-25;7.4
06-06-25;7.1
10-10-25;7.1
25-05-26;6.9
